ticker,company_name,index,score_321,score_slope,eps_chg_60d,eps_chg_7d,eps_chg_30d,eps_chg_90d,price_change_pct,peg,price,ma_20,ma_60,ma_200,rsi,dollar_vol_M,sector,current,7d,30d,60d,90d,is_aligned,is_quality_growth,is_reasonable_value,is_technical_rescue,pass_reason,rev_growth,op_growth,from_52w_high,action,fwd_per,roe,peg_calculated,hybrid_score,price_position_score,high_52w,action_multiplier,actionable_score,quality_score,value_score,total_score,quality_grade,value_label,actionable_score_v63,volume_spike,earnings_dday,fake_bottom,atr,stop_loss,ma_50,industry,is_filled
HII,"Huntington Ingalls Industries, ",SP500,9.4,0.0,1.8,0.2,0.9,3.7,-3.84,,413.14,412.31,353.72,285.57,48.7,265.5,Industrials,17.65123,17.61057,17.48571,17.34736,17.02696,True,True,False,False,"Quality Growth (Rev+16%, Op+113%)",16.1,112.9,-5.3,매수적기 (추세),23.4,12.4,13.38,7.11,5.3,436.14,0.9,6.4,25.8,80,52.9,B급,매수적기,47.62,True,,False,14.08,384.97,362.19,Aerospace & Defense,0
FIVE,"Five Below, Inc.",SP400_MidCap,11.3,0.1,11.5,1.6,10.5,22.4,-1.93,,192.93,194.42,178.67,145.74,44.3,227.1,Consumer Cyclical,6.92452,6.81535,6.26426,6.21102,5.65706,True,True,False,False,"Quality Growth (Rev+23%, Op+7246%)",23.1,7246.0,-6.0,관망 (조정부족),27.9,17.3,2.42,8.16,6.0,205.22,0.7,5.71,59.9,70,64.9,A급,매수적기,45.45,False,,False,6.65,179.63,184.51,Specialty Retail,0
RGLD,"Royal Gold, Inc.",SP400_MidCap,11.9,0.1,14.6,2.1,11.1,18.3,0.27,,265.89,269.03,227.62,192.3,55.8,283.2,Basic Materials,12.40283,12.14192,11.162,10.82649,10.48455,True,True,False,False,"Quality Growth (Rev+30%, Op+47%)",30.0,47.4,-13.2,관망,21.4,11.0,1.47,10.84,13.2,306.25,0.7,7.59,62.5,65,63.8,A급,중립,44.64,False,,False,13.62,238.65,236.05,Gold,0
GMED,"Globus Medical, Inc.",SP400_MidCap,9.7,0.0,3.3,1.2,3.1,16.5,-0.45,,87.06,91.87,88.91,68.61,30.0,134.4,Healthcare,4.24454,4.19575,4.11708,4.10933,3.64417,True,True,False,False,"Quality Growth (Rev+23%, Op+172%)",22.9,171.8,-14.1,관망,20.5,10.0,6.23,10.05,14.1,101.4,0.7,7.04,40.9,85,63.0,A급,급락매수,44.08,False,,False,2.4,82.27,89.86,Medical Devices,0
JBL,Jabil Inc.,SP500,10.0,0.0,5.1,0.1,4.4,5.1,-3.9,,236.06,240.43,225.07,207.11,45.8,272.9,Technology,13.48524,13.47274,12.91668,12.82842,12.82842,True,True,False,False,"Quality Growth (Rev+19%, Op+33%)",18.7,32.9,-8.5,관망 (조정부족),17.5,47.8,3.42,8.71,8.5,258.05,0.7,6.1,33.7,80,56.8,B급,매수적기,39.78,True,,False,10.49,215.07,229.03,Electronic Components,0
TPR,"Tapestry, Inc.",SP500,9.6,0.0,2.8,1.0,2.3,3.9,2.28,,129.92,130.27,120.82,103.79,44.0,297.1,Consumer Cyclical,6.34532,6.28196,6.20132,6.17029,6.1047,True,True,False,False,"Quality Growth (Rev+13%, Op+30%)",13.1,30.2,-4.5,관망,20.5,16.1,7.21,7.11,4.5,136.04,0.7,4.98,29.5,75,52.2,B급,매수적기,36.56,True,,False,3.99,121.94,124.46,Luxury Goods,0
LLY,Eli Lilly and Company,SP500,9.9,0.0,4.6,1.6,3.0,8.9,10.33,,1107.12,1058.66,1047.62,855.65,55.2,3621.8,Healthcare,41.31388,40.65487,40.11404,39.5085,37.94656,True,True,False,False,"Quality Growth (Rev+54%, Op+89%)",53.9,89.1,-2.4,관망,26.8,96.5,5.86,6.41,2.4,1133.95,0.7,4.49,36.4,65,50.7,B급,중립,35.51,True,,False,38.93,1029.26,1055.48,Drug Manufacturers - General,0
CVNA,Carvana Co.,SP500,9.2,0.0,1.1,0.1,0.9,4.1,-4.22,,393.04,445.13,410.86,356.27,34.0,1512.3,Consumer Cyclical,7.06553,7.06108,7.00026,6.9886,6.78429,True,True,False,False,"Quality Growth (Rev+55%, Op+64%)",54.5,63.8,-19.3,관망,55.6,68.2,50.57,10.75,19.3,486.89,0.7,7.52,25.4,75,50.2,B급,매수적기,35.14,False,,False,30.07,332.9,429.0,Auto & Truck Dealerships,0
CAH,"Cardinal Health, Inc.",SP500,9.4,0.0,2.0,0.8,1.9,3.9,-5.11,,206.85,210.02,206.14,170.39,41.2,372.5,Healthcare,11.29142,11.20077,11.08476,11.07028,10.8697,True,True,False,False,"Quality Growth (Rev+22%, Op+37%)",22.4,36.8,-6.1,관망 (조정부족),18.3,,9.16,7.62,6.1,220.27,0.7,5.33,27.9,70,49.0,C급,매수적기,34.27,False,,False,4.74,197.37,206.31,Medical Distribution,0
INCY,Incyte Corporation,SP500,9.4,0.0,2.0,0.0,0.5,3.3,1.66,,102.6,103.97,102.35,84.0,42.3,205.5,Healthcare,7.96314,7.95998,7.92419,7.81093,7.70757,True,True,False,False,"Quality Growth (Rev+20%, Op+154%)",20.0,154.5,-8.6,관망 (조정부족),12.9,30.4,6.61,8.84,8.6,112.29,0.7,6.19,25.0,70,47.5,C급,매수적기,33.25,False,,False,3.35,95.91,101.84,Biotechnology,0
ROK,"Rockwell Automation, Inc.",SP500,9.0,0.0,0.2,0.1,0.2,4.7,-0.11,,429.84,418.43,401.37,350.24,57.5,314.3,Industrials,13.61853,13.60962,13.59258,13.58541,13.01121,True,True,False,False,"Quality Growth (Rev+14%, Op+61%)",13.8,61.4,-2.0,관망,31.6,20.3,131.5,5.76,2.0,438.72,0.7,4.03,24.2,65,44.6,C급,중립,31.23,True,,False,10.27,409.31,406.1,Specialty Industrial Machinery,0
CASY,"Caseys General Stores, Inc.",SP400_MidCap,9.9,0.0,4.3,0.0,1.6,5.0,1.0,,647.76,616.71,575.0,526.64,64.9,223.5,Consumer Cyclical,19.18743,19.17861,18.89452,18.39927,18.27082,True,True,False,False,"Quality Growth (Rev+14%, Op+18%)",14.2,18.4,-1.6,관망,33.8,17.0,7.89,6.0,1.6,658.27,0.7,4.2,29.6,55,42.3,C급,중립,29.62,False,,False,15.67,616.42,581.94,Specialty Retail,0
WTS,"Watts Water Technologies, Inc.",SP400_MidCap,9.2,0.0,1.0,0.1,0.8,6.9,0.9,,306.91,295.71,282.39,264.32,65.0,51.5,Industrials,11.28181,11.27271,11.19626,11.17116,10.55771,True,True,False,False,"Quality Growth (Rev+13%, Op+15%)",12.5,15.5,-1.5,관망 (고점경계),27.2,17.8,27.47,5.79,1.5,311.67,0.7,4.05,27.3,55,41.2,C급,중립,28.81,False,,False,7.98,290.94,284.81,Specialty Industrial Machinery,0
ROL,"Rollins, Inc.",SP500,9.1,0.0,0.5,0.1,0.1,2.2,0.84,,63.51,62.43,60.7,57.8,64.8,140.7,Consumer Cyclical,1.27976,1.27861,1.27841,1.27298,1.2517,True,True,False,False,"Quality Growth (Rev+12%, Op+17%)",12.0,17.3,-0.5,관망,49.6,36.2,93.64,5.11,0.5,63.84,0.7,3.58,22.5,55,38.7,C급,중립,27.12,False,,False,0.97,61.57,61.13,Personal Services,0
DGX,Quest Diagnostics Incorporated,SP500,9.1,0.0,0.4,0.3,0.4,0.4,2.19,,189.23,183.23,181.9,177.72,54.3,193.5,Healthcare,10.39466,10.36597,10.35722,10.35572,10.35259,True,True,False,False,"Quality Growth (Rev+13%, Op+17%)",13.2,17.0,-3.8,관망,18.2,14.3,47.89,6.77,3.8,196.65,0.7,4.74,21.4,55,38.2,C급,중립,26.74,False,,False,3.69,181.84,181.27,Diagnostics & Research,0
WDC,Western Digital Corporation,NASDAQ_100,16.1,0.3,35.6,17.5,31.7,40.0,-7.18,,269.41,237.45,191.88,113.75,66.0,3001.6,Technology,12.72575,10.8312,9.66603,9.38648,9.08696,True,True,False,False,"Quality Growth (Rev+25%, Op+75%)",25.2,75.1,-9.1,진입금지 (단기급등),21.2,41.1,0.59,11.75,9.1,296.5,0.3,3.52,97.0,60,78.5,S급,중립,23.55,False,,False,22.79,223.83,198.33,Computer Hardware,0
